Part_ID,Part_Name,Category,Brand,Competitor_Brand,Price,Cost,Competitor_Price,Units_Sold,Region,Date,Currency,Revenue,Profit,Gross_Margin_%,Competitiveness_Index,Price_diff,Price_pct_diff,Margin,Revenue_calc
2014,Ball Joint,Suspension,Kia,Toyota,22.58,15.39,23.1,500,UK,2025-10-31,GBP,11290.0,3594.999999999999,31.84233835252435,102.3029229406555,-0.5200000000000031,-2.2510822510822646,7.189999999999998,11290.0
2014,Ball Joint,Suspension,Hyundai,Nissan,20.14,14.35,19.72,497,EU,2025-04-30,GBP,10009.58,2877.630000000001,28.74875868917577,97.91459781529294,0.4200000000000017,2.1298174442190754,5.790000000000001,10009.58
2004,Timing Belt,Engine,Nissan,Hyundai,61.02,49.46,61.22,496,UK,2024-01-31,GBP,30265.92,5733.760000000001,18.9446083251393,100.3277613897083,-0.19999999999999574,-0.3266906239790849,11.560000000000002,30265.920000000002
2013,Control Arm,Suspension,Kia,Toyota,37.63,24.5,38.81,495,EU,2024-10-31,GBP,18626.85,6499.350000000001,34.89237310656392,103.1357959075206,-1.1799999999999997,-3.0404534913682033,13.130000000000003,18626.850000000002
2013,Control Arm,Suspension,Nissan,Hyundai,36.68,24.3,36.06,489,UK,2025-01-31,GBP,17936.52,6053.82,33.75136314067612,98.30970556161397,0.6199999999999974,1.7193566278424777,12.379999999999999,17936.52
2014,Ball Joint,Suspension,Toyota,Kia,23.79,14.69,22.82,488,UK,2024-01-31,GBP,11609.52,4440.8,38.25136612021858,95.92265657839428,0.9699999999999989,4.250657318141976,9.1,11609.52
2004,Timing Belt,Engine,Toyota,Kia,60.64,47.93,60.48,487,UK,2024-04-30,GBP,29531.68,6189.77,20.95976253298153,99.73614775725594,0.1600000000000037,0.2645502645502707,12.71,29531.68
2015,Strut Mount,Suspension,Hyundai,Nissan,51.06,34.83,53.87,479,UK,2024-10-31,GBP,24457.74,7774.170000000002,31.78613396004701,105.5033294163729,-2.809999999999995,-5.216261369964721,16.230000000000004,24457.74
2014,Ball Joint,Suspension,Nissan,Hyundai,22.71,15.0,23.95,471,EU,2024-10-31,GBP,10696.41,3631.41,33.94980184940555,105.4601497137825,-1.2399999999999984,-5.177453027139868,7.710000000000001,10696.41
2013,Control Arm,Suspension,Toyota,Kia,39.04,24.22,42.48,470,EU,2024-07-31,GBP,18348.8,6965.400000000001,37.96106557377049,108.8114754098361,-3.4399999999999977,-8.097928436911484,14.82,18348.8
