Part_ID,Part_Name,Category,Brand,Competitor_Brand,Price,Cost,Competitor_Price,Units_Sold,Region,Date,Currency,Revenue,Profit,Gross_Margin_%,Competitiveness_Index,Price_diff,Price_pct_diff,Margin,Revenue_calc
2005,Brake Pad Set,Brakes,Toyota,Kia,236.82,151.9,213.2,194,UK,2024-04-30,GBP,45943.08,16474.48,35.85845790051516,90.0261802212651,23.620000000000005,11.07879924953096,84.91999999999999,45943.08
2006,Brake Disc,Brakes,Kia,Toyota,138.1,91.54,124.41,376,UK,2025-07-31,GBP,51925.6,17506.55999999999,33.71469949312092,90.08689355539464,13.689999999999998,11.003938590145484,46.55999999999999,51925.6
2019,Cooling Fan,Cooling,Kia,Toyota,150.75,116.56,135.85,211,EU,2024-01-31,GBP,31808.25,7214.089999999999,22.67993366500829,90.1160862354892,14.900000000000006,10.967979389032024,34.19,31808.25
2005,Brake Pad Set,Brakes,Kia,Toyota,249.32,152.36,224.82,454,EU,2024-04-30,GBP,113191.28,44019.83999999999,38.88978020214984,90.17327129793037,24.5,10.897606974468465,96.95999999999998,113191.28
2015,Strut Mount,Suspension,Toyota,Kia,49.25,34.37,44.45,173,UK,2025-04-30,GBP,8520.25,2574.24,30.21319796954315,90.253807106599,4.799999999999997,10.798650168728901,14.880000000000003,8520.25
2013,Control Arm,Suspension,Kia,Toyota,39.6,25.55,35.75,356,EU,2024-01-31,GBP,14097.6,5001.8,35.47979797979798,90.27777777777779,3.8500000000000014,10.769230769230772,14.05,14097.6
2011,Headlight,Electrical,Hyundai,Nissan,211.86,147.72,191.28,339,EU,2025-10-31,GBP,71820.54000000001,21743.46000000001,30.27470971396206,90.28603794958934,20.580000000000013,10.759096612296117,64.14000000000001,71820.54000000001
2019,Cooling Fan,Cooling,Hyundai,Nissan,145.66,114.01,131.74,218,EU,2024-10-31,GBP,31753.88,6899.699999999998,21.72868323493065,90.44349855828642,13.919999999999987,10.566266889327453,31.64999999999999,31753.88
2015,Strut Mount,Suspension,Toyota,Kia,49.15,34.2,44.47,280,UK,2024-01-31,GBP,13762.0,4185.999999999999,30.41709053916581,90.47812817904375,4.68,10.523948729480548,14.949999999999996,13762.0
2005,Brake Pad Set,Brakes,Nissan,Hyundai,242.39,149.67,219.53,87,EU,2025-01-31,GBP,21087.93,8066.64,38.25240315194522,90.56891785964768,22.859999999999985,10.41315537739716,92.72,21087.93
2001,Air Filter,Engine,Kia,Toyota,186.37,127.6,168.89,285,UK,2025-04-30,GBP,53115.45,16749.45,31.53404517894511,90.62080806996833,17.480000000000018,10.34993190834272,58.77000000000001,53115.450000000004
2002,Fuel Pump,Engine,Hyundai,Nissan,169.68,137.13,153.85,283,UK,2025-01-31,GBP,48019.44,9211.650000000003,19.18316831683169,90.67067421027816,15.830000000000013,10.289242768930785,32.55000000000001,48019.44
2003,Spark Plug,Engine,Hyundai,Nissan,38.23,25.56,34.67,52,UK,2024-04-30,GBP,1987.96,658.8399999999999,33.14151190164792,90.6879414072718,3.559999999999995,10.268243438130934,12.669999999999998,1987.9599999999998
2001,Air Filter,Engine,Nissan,Hyundai,194.03,132.0,175.97,335,UK,2025-01-31,GBP,65000.05,20780.05,31.96928310055146,90.69216100602999,18.060000000000002,10.263113030630223,62.03,65000.05
2014,Ball Joint,Suspension,Hyundai,Nissan,23.62,14.4,21.44,401,UK,2024-04-30,GBP,9471.62,3697.22,39.03471634208298,90.77053344623201,2.1799999999999997,10.16791044776119,9.22,9471.62
2013,Control Arm,Suspension,Hyundai,Nissan,40.0,25.36,36.31,135,UK,2025-10-31,GBP,5400.0,1976.4,36.6,90.775,3.6899999999999977,10.162489672266586,14.64,5400.0
2019,Cooling Fan,Cooling,Toyota,Kia,153.0,116.38,138.95,471,EU,2024-04-30,GBP,72063.0,17248.02,23.93464052287582,90.81699346405227,14.050000000000011,10.111550917596267,36.620000000000005,72063.0
2001,Air Filter,Engine,Nissan,Hyundai,198.21,130.6,180.04,328,EU,2025-10-31,GBP,65012.88,22176.08000000001,34.11028706926997,90.83295494677361,18.170000000000016,10.092201732948244,67.61000000000001,65012.880000000005
2005,Brake Pad Set,Brakes,Kia,Toyota,232.34,144.34,211.06,437,EU,2025-04-30,GBP,101532.58,38456.0,37.87552724455539,90.84100886631661,21.28,10.082441012034494,88.0,101532.58
2014,Ball Joint,Suspension,Nissan,Hyundai,20.88,15.48,18.97,191,EU,2024-07-31,GBP,3988.08,1031.4,25.86206896551724,90.85249042145594,1.9100000000000001,10.06852925672114,5.399999999999999,3988.08
2006,Brake Disc,Brakes,Toyota,Kia,119.39,91.42,108.52,69,EU,2024-04-30,GBP,8237.91,1929.93,23.42742273222213,90.89538487310494,10.870000000000005,10.016586804275713,27.97,8237.91
